Timestamp,Channel1
3.6396901607513428,7342
5.269191026687622,7214
6.916412353515625,6449
8.54488754272461,6321
10.232894897460938,6325
11.830262899398804,6958
13.470975637435913,6318
15.177679538726807,7181
16.74575901031494,6574
18.393537282943726,6965
20.043063163757324,7181
21.69991946220398,6450
23.3447265625,6326
24.938142776489258,6325
26.572394847869873,7345
28.2055721282959,6201
29.852542638778687,7342
31.508227109909058,6456
33.11825919151306,6574
34.76618528366089,6585
36.404452085494995,7086
38.037718534469604,6449
39.75960659980774,7086
41.31185054779053,6711
42.963910818099976,6327
44.599244117736816,6321
46.238696575164795,6450
47.879839181900024,6574
49.566508769989014,6925
51.16019821166992,6318
52.78697633743286,6574
54.43431353569031,6446
56.07870554924011,6321
57.75954532623291,6190
59.468443870544434,6453
