Timestamp,Channel1,,
16-04-2024 23:11,10740,,6040.715386
16-04-2024 23:11,7345,,1325
16-04-2024 23:11,7181,,10740
16-04-2024 23:11,7342,,
16-04-2024 23:11,6578,,
16-04-2024 23:11,1674,,
16-04-2024 23:11,6958,,
16-04-2024 23:11,6324,,
16-04-2024 23:11,7309,,
16-04-2024 23:11,1674,,
16-04-2024 23:11,1329,,
16-04-2024 23:11,6321,,
16-04-2024 23:11,6713,,
16-04-2024 23:11,7086,,
16-04-2024 23:11,7219,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5937,,
16-04-2024 23:11,6323,,
16-04-2024 23:11,1674,,
16-04-2024 23:11,6963,,
16-04-2024 23:11,1325,,
16-04-2024 23:11,5942,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,6324,,
16-04-2024 23:11,6710,,
16-04-2024 23:11,5938,,
16-04-2024 23:11,7181,,
16-04-2024 23:11,1325,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,6325,,
16-04-2024 23:11,6834,,
16-04-2024 23:11,5937,,
16-04-2024 23:11,6797,,
16-04-2024 23:11,1325,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,5809,,
16-04-2024 23:11,6323,,
16-04-2024 23:11,6830,,
16-04-2024 23:11,6192,,
